text,features,materials,style
"It is primarily built using wood, mosaic and tile. The building showcases stained glass and arches. With its use of wood, mosaic, tile and distinctive stained glass, the design stands out.",stained glass;arches,wood;mosaic;tile,Neoclassical
"It is primarily built using plaster and tile. The building showcases columns, domes, buttresses and stained glass. This structure exemplifies the Gothic architectural style.",columns;domes;buttresses;stained glass,plaster;tile,Gothic
"The building showcases balconies, roofs, columns and vaults. It is primarily built using brick and mosaic. This structure exemplifies the Neoclassical architectural style.",balconies;roofs;columns;vaults,brick;mosaic,Neoclassical
"It is primarily built using tile, brick and glass. With its use of tile, brick, glass and distinctive roofs, the design stands out.",roofs;stained glass;vaults;towers,tile;brick;glass,Islamic
"With its use of marble, mosaic, wood and distinctive towers, the design stands out. The building showcases towers, vaults, domes and buttresses.",towers;vaults;domes;buttresses,marble;mosaic;wood,Renaissance
"This structure exemplifies the Medieval architectural style. With its use of stone, tile and distinctive towers, the design stands out.",towers;domes;columns;roofs,stone;tile,Medieval
The building showcases domes and vaults. This structure exemplifies the Romanesque architectural style.,domes;vaults,concrete;stone;brick,Romanesque
This structure exemplifies the Modernist architectural style. It is primarily built using wood and brick.,buttresses;columns;towers,wood;brick,Modernist
"It is primarily built using tile and concrete. With its use of tile, concrete and distinctive vaults, the design stands out.",vaults;towers;domes,tile;concrete,Gothic
"This structure exemplifies the Romanesque architectural style. It is primarily built using wood, mosaic and stone.",minarets;vaults;towers,wood;mosaic;stone,Romanesque
"With its use of stone, marble, mosaic and distinctive columns, the design stands out. It is primarily built using stone, marble and mosaic.",columns;balconies;domes,stone;marble;mosaic,Baroque
"The building showcases roofs, balconies and vaults. With its use of stone, plaster, brick and distinctive roofs, the design stands out. It is primarily built using stone, plaster and brick.",roofs;balconies;vaults,stone;plaster;brick,Modernist
"This structure exemplifies the Islamic architectural style. With its use of wood, brick and distinctive vaults, the design stands out. The building showcases vaults, domes and minarets. It is primarily built using wood and brick.",vaults;domes;minarets,wood;brick,Islamic
"With its use of brick, glass and distinctive balconies, the design stands out. It is primarily built using brick and glass.",balconies;arches;vaults,brick;glass,Gothic
"This structure exemplifies the Gothic architectural style. It is primarily built using tile, glass and stone. The building showcases towers and arches.",towers;arches,tile;glass;stone,Gothic
"It is primarily built using brick, stone and wood. With its use of brick, stone, wood and distinctive balconies, the design stands out. This structure exemplifies the Renaissance architectural style. The building showcases balconies, columns and buttresses.",balconies;columns;buttresses,brick;stone;wood,Renaissance
"The building showcases balconies and vaults. It is primarily built using tile and stone. With its use of tile, stone and distinctive balconies, the design stands out. This structure exemplifies the Gothic architectural style.",balconies;vaults,tile;stone,Gothic
"With its use of stone, mosaic and distinctive arches, the design stands out. It is primarily built using stone and mosaic. This structure exemplifies the Islamic architectural style. The building showcases arches, balconies and stained glass.",arches;balconies;stained glass,stone;mosaic,Islamic
"It is primarily built using marble, brick and plaster. With its use of marble, brick, plaster and distinctive domes, the design stands out. This structure exemplifies the Modernist architectural style. The building showcases domes, towers, stained glass and buttresses.",domes;towers;stained glass;buttresses,marble;brick;plaster,Modernist
It is primarily built using plaster and glass. The building showcases arches and stained glass.,arches;stained glass,plaster;glass,Renaissance
"With its use of mosaic, concrete and distinctive towers, the design stands out. It is primarily built using mosaic and concrete.",towers;balconies;domes,mosaic;concrete,Renaissance
"This structure exemplifies the Modernist architectural style. It is primarily built using plaster, mosaic and marble. The building showcases roofs, stained glass, minarets and columns.",roofs;stained glass;minarets;columns,plaster;mosaic;marble,Modernist
"This structure exemplifies the Medieval architectural style. It is primarily built using plaster, marble and concrete. With its use of plaster, marble, concrete and distinctive stained glass, the design stands out. The building showcases stained glass and minarets.",stained glass;minarets,plaster;marble;concrete,Medieval
"This structure exemplifies the Byzantine architectural style. With its use of brick, mosaic, plaster and distinctive towers, the design stands out. The building showcases towers and domes. It is primarily built using brick, mosaic and plaster.",towers;domes,brick;mosaic;plaster,Byzantine
The building showcases columns and minarets. It is primarily built using marble and plaster.,columns;minarets,marble;plaster,Renaissance
"With its use of glass, plaster and distinctive towers, the design stands out. It is primarily built using glass and plaster. This structure exemplifies the Modernist architectural style. The building showcases towers and roofs.",towers;roofs,glass;plaster,Modernist
"With its use of glass, mosaic and distinctive roofs, the design stands out. The building showcases roofs and vaults.",roofs;vaults,glass;mosaic,Byzantine
"It is primarily built using glass, mosaic and concrete. The building showcases balconies, columns and towers. With its use of glass, mosaic, concrete and distinctive balconies, the design stands out. This structure exemplifies the Modernist architectural style.",balconies;columns;towers,glass;mosaic;concrete,Modernist
"It is primarily built using marble and glass. With its use of marble, glass and distinctive towers, the design stands out. The building showcases towers and roofs.",towers;roofs,marble;glass,Modernist
"The building showcases towers, stained glass and arches. With its use of tile, wood, stone and distinctive towers, the design stands out. This structure exemplifies the Romanesque architectural style. It is primarily built using tile, wood and stone.",towers;stained glass;arches,tile;wood;stone,Romanesque
"The building showcases stained glass, balconies, domes and vaults. This structure exemplifies the Byzantine architectural style.",stained glass;balconies;domes;vaults,concrete;marble,Byzantine
"The building showcases domes and stained glass. It is primarily built using tile, glass and stone. With its use of tile, glass, stone and distinctive domes, the design stands out. This structure exemplifies the Neoclassical architectural style.",domes;stained glass,tile;glass;stone,Neoclassical
"The building showcases towers, stained glass, balconies and roofs. It is primarily built using glass, concrete and wood.",towers;stained glass;balconies;roofs,glass;concrete;wood,Baroque
"It is primarily built using glass, concrete and stone. This structure exemplifies the Medieval architectural style. The building showcases domes, stained glass, buttresses and minarets. With its use of glass, concrete, stone and distinctive domes, the design stands out.",domes;stained glass;buttresses;minarets,glass;concrete;stone,Medieval
"It is primarily built using plaster, mosaic and marble. This structure exemplifies the Byzantine architectural style.",arches;vaults;balconies,plaster;mosaic;marble,Byzantine
"It is primarily built using tile, brick and mosaic. This structure exemplifies the Gothic architectural style. The building showcases vaults, buttresses, balconies and domes.",vaults;buttresses;balconies;domes,tile;brick;mosaic,Gothic
"This structure exemplifies the Modernist architectural style. It is primarily built using plaster, tile and mosaic. The building showcases balconies, columns, vaults and towers. With its use of plaster, tile, mosaic and distinctive balconies, the design stands out.",balconies;columns;vaults;towers,plaster;tile;mosaic,Modernist
"With its use of stone, tile, wood and distinctive columns, the design stands out. It is primarily built using stone, tile and wood. This structure exemplifies the Byzantine architectural style.",columns;vaults,stone;tile;wood,Byzantine
"The building showcases buttresses, domes and vaults. This structure exemplifies the Gothic architectural style. It is primarily built using stone, glass and marble.",buttresses;domes;vaults,stone;glass;marble,Gothic
"The building showcases stained glass, domes and balconies. It is primarily built using mosaic, plaster and marble. This structure exemplifies the Modernist architectural style. With its use of mosaic, plaster, marble and distinctive stained glass, the design stands out.",stained glass;domes;balconies,mosaic;plaster;marble,Modernist
"With its use of glass, plaster and distinctive balconies, the design stands out. It is primarily built using glass and plaster.",balconies;stained glass;towers;vaults,glass;plaster,Neoclassical
"It is primarily built using wood, stone and tile. This structure exemplifies the Neoclassical architectural style. The building showcases minarets, stained glass, roofs and columns. With its use of wood, stone, tile and distinctive minarets, the design stands out.",minarets;stained glass;roofs;columns,wood;stone;tile,Neoclassical
"This structure exemplifies the Byzantine architectural style. With its use of concrete, marble and distinctive buttresses, the design stands out. It is primarily built using concrete and marble. The building showcases buttresses, arches, balconies and roofs.",buttresses;arches;balconies;roofs,concrete;marble,Byzantine
"It is primarily built using concrete, stone and marble. This structure exemplifies the Byzantine architectural style. With its use of concrete, stone, marble and distinctive columns, the design stands out.",columns;vaults;stained glass;buttresses,concrete;stone;marble,Byzantine
"It is primarily built using tile, brick and marble. This structure exemplifies the Neoclassical architectural style. The building showcases domes, arches and buttresses.",domes;arches;buttresses,tile;brick;marble,Neoclassical
"With its use of brick, marble and distinctive roofs, the design stands out. This structure exemplifies the Medieval architectural style. It is primarily built using brick and marble. The building showcases roofs, stained glass, vaults and balconies.",roofs;stained glass;vaults;balconies,brick;marble,Medieval
"It is primarily built using wood, brick and mosaic. With its use of wood, brick, mosaic and distinctive domes, the design stands out. The building showcases domes, balconies and columns. This structure exemplifies the Baroque architectural style.",domes;balconies;columns,wood;brick;mosaic,Baroque
"With its use of stone, concrete and distinctive towers, the design stands out. This structure exemplifies the Baroque architectural style.",towers;arches;balconies,stone;concrete,Baroque
"This structure exemplifies the Baroque architectural style. With its use of marble, concrete, stone and distinctive buttresses, the design stands out. It is primarily built using marble, concrete and stone.",buttresses;balconies;arches,marble;concrete;stone,Baroque
"With its use of glass, mosaic, stone and distinctive vaults, the design stands out. This structure exemplifies the Modernist architectural style.",vaults;domes;arches,glass;mosaic;stone,Modernist
"It is primarily built using concrete and glass. This structure exemplifies the Gothic architectural style. The building showcases vaults, arches, stained glass and columns.",vaults;arches;stained glass;columns,concrete;glass,Gothic
"This structure exemplifies the Gothic architectural style. It is primarily built using wood and stone. The building showcases columns, towers, roofs and buttresses. With its use of wood, stone and distinctive columns, the design stands out.",columns;towers;roofs;buttresses,wood;stone,Gothic
"The building showcases minarets, buttresses and roofs. With its use of glass, plaster and distinctive minarets, the design stands out. This structure exemplifies the Romanesque architectural style.",minarets;buttresses;roofs,glass;plaster,Romanesque
"It is primarily built using concrete and plaster. With its use of concrete, plaster and distinctive buttresses, the design stands out.",buttresses;roofs,concrete;plaster,Islamic
"With its use of plaster, wood, tile and distinctive balconies, the design stands out. This structure exemplifies the Islamic architectural style.",balconies;buttresses;stained glass,plaster;wood;tile,Islamic
"It is primarily built using stone, plaster and mosaic. The building showcases columns and buttresses.",columns;buttresses,stone;plaster;mosaic,Romanesque
"With its use of concrete, glass and distinctive columns, the design stands out. The building showcases columns and vaults. It is primarily built using concrete and glass.",columns;vaults,concrete;glass,Neoclassical
"It is primarily built using brick and wood. The building showcases domes, stained glass and balconies. With its use of brick, wood and distinctive domes, the design stands out. This structure exemplifies the Gothic architectural style.",domes;stained glass;balconies,brick;wood,Gothic
"It is primarily built using wood, marble and plaster. The building showcases columns, minarets and towers. This structure exemplifies the Modernist architectural style.",columns;minarets;towers,wood;marble;plaster,Modernist
"With its use of wood, mosaic, marble and distinctive balconies, the design stands out. This structure exemplifies the Gothic architectural style. The building showcases balconies and roofs. It is primarily built using wood, mosaic and marble.",balconies;roofs,wood;mosaic;marble,Gothic
"It is primarily built using tile and concrete. With its use of tile, concrete and distinctive arches, the design stands out.",arches;buttresses;domes,tile;concrete,Gothic
"With its use of marble, wood and distinctive stained glass, the design stands out. The building showcases stained glass, minarets, domes and columns. This structure exemplifies the Medieval architectural style. It is primarily built using marble and wood.",stained glass;minarets;domes;columns,marble;wood,Medieval
"The building showcases stained glass and roofs. This structure exemplifies the Baroque architectural style. With its use of stone, brick and distinctive stained glass, the design stands out. It is primarily built using stone and brick.",stained glass;roofs,stone;brick,Baroque
"It is primarily built using marble, brick and wood. The building showcases stained glass, minarets, towers and vaults. This structure exemplifies the Baroque architectural style.",stained glass;minarets;towers;vaults,marble;brick;wood,Baroque
"This structure exemplifies the Medieval architectural style. The building showcases stained glass, vaults, balconies and domes. It is primarily built using stone and brick.",stained glass;vaults;balconies;domes,stone;brick,Medieval
"This structure exemplifies the Gothic architectural style. It is primarily built using marble, tile and wood. With its use of marble, tile, wood and distinctive balconies, the design stands out. The building showcases balconies, minarets and roofs.",balconies;minarets;roofs,marble;tile;wood,Gothic
"This structure exemplifies the Renaissance architectural style. It is primarily built using glass, plaster and brick.",vaults;minarets,glass;plaster;brick,Renaissance
"The building showcases balconies, arches, vaults and roofs. It is primarily built using mosaic and tile. This structure exemplifies the Romanesque architectural style. With its use of mosaic, tile and distinctive balconies, the design stands out.",balconies;arches;vaults;roofs,mosaic;tile,Romanesque
"The building showcases balconies, minarets and towers. This structure exemplifies the Modernist architectural style.",balconies;minarets;towers,brick;glass,Modernist
"With its use of mosaic, stone and distinctive roofs, the design stands out. This structure exemplifies the Modernist architectural style. It is primarily built using mosaic and stone. The building showcases roofs, vaults and arches.",roofs;vaults;arches,mosaic;stone,Modernist
"It is primarily built using brick and stone. This structure exemplifies the Islamic architectural style. The building showcases arches, domes, stained glass and roofs. With its use of brick, stone and distinctive arches, the design stands out.",arches;domes;stained glass;roofs,brick;stone,Islamic
"With its use of glass, wood, concrete and distinctive vaults, the design stands out. This structure exemplifies the Byzantine architectural style. The building showcases vaults, columns and balconies.",vaults;columns;balconies,glass;wood;concrete,Byzantine
"The building showcases buttresses, vaults, stained glass and columns. With its use of wood, tile, marble and distinctive buttresses, the design stands out. It is primarily built using wood, tile and marble.",buttresses;vaults;stained glass;columns,wood;tile;marble,Medieval
"It is primarily built using concrete and brick. With its use of concrete, brick and distinctive columns, the design stands out. The building showcases columns, towers and vaults.",columns;towers;vaults,concrete;brick,Gothic
"This structure exemplifies the Romanesque architectural style. The building showcases buttresses, towers, domes and stained glass. With its use of wood, concrete, brick and distinctive buttresses, the design stands out. It is primarily built using wood, concrete and brick.",buttresses;towers;domes;stained glass,wood;concrete;brick,Romanesque
"With its use of brick, mosaic, concrete and distinctive columns, the design stands out. The building showcases columns and domes. It is primarily built using brick, mosaic and concrete. This structure exemplifies the Byzantine architectural style.",columns;domes,brick;mosaic;concrete,Byzantine
"With its use of tile, marble and distinctive buttresses, the design stands out. It is primarily built using tile and marble. The building showcases buttresses and balconies. This structure exemplifies the Baroque architectural style.",buttresses;balconies,tile;marble,Baroque
This structure exemplifies the Byzantine architectural style. It is primarily built using marble and stone.,arches;minarets,marble;stone,Byzantine
"With its use of stone, marble and distinctive stained glass, the design stands out. This structure exemplifies the Neoclassical architectural style.",stained glass;minarets;columns;vaults,stone;marble,Neoclassical
This structure exemplifies the Romanesque architectural style. It is primarily built using brick and tile.,arches;roofs;columns,brick;tile,Romanesque
"The building showcases domes and roofs. It is primarily built using marble, mosaic and brick. With its use of marble, mosaic, brick and distinctive domes, the design stands out.",domes;roofs,marble;mosaic;brick,Neoclassical
"The building showcases columns and vaults. With its use of concrete, glass, plaster and distinctive columns, the design stands out.",columns;vaults,concrete;glass;plaster,Romanesque
"With its use of mosaic, tile and distinctive domes, the design stands out. The building showcases domes and stained glass. This structure exemplifies the Gothic architectural style.",domes;stained glass,mosaic;tile,Gothic
"With its use of marble, concrete, glass and distinctive arches, the design stands out. It is primarily built using marble, concrete and glass.",arches;balconies,marble;concrete;glass,Modernist
"This structure exemplifies the Medieval architectural style. With its use of brick, marble and distinctive towers, the design stands out.",towers;domes;arches,brick;marble,Medieval
"The building showcases buttresses, domes, columns and stained glass. This structure exemplifies the Modernist architectural style. It is primarily built using glass and brick. With its use of glass, brick and distinctive buttresses, the design stands out.",buttresses;domes;columns;stained glass,glass;brick,Modernist
"With its use of glass, stone and distinctive vaults, the design stands out. It is primarily built using glass and stone. This structure exemplifies the Islamic architectural style.",vaults;columns;domes;towers,glass;stone,Islamic
"The building showcases roofs, balconies, stained glass and towers. With its use of wood, brick, concrete and distinctive roofs, the design stands out. This structure exemplifies the Neoclassical architectural style.",roofs;balconies;stained glass;towers,wood;brick;concrete,Neoclassical
"The building showcases stained glass and domes. It is primarily built using brick, stone and glass.",stained glass;domes,brick;stone;glass,Gothic
"The building showcases domes, balconies, arches and towers. It is primarily built using plaster, wood and brick.",domes;balconies;arches;towers,plaster;wood;brick,Byzantine
"With its use of mosaic, concrete and distinctive balconies, the design stands out. It is primarily built using mosaic and concrete.",balconies;columns;domes;vaults,mosaic;concrete,Gothic
"The building showcases towers and stained glass. It is primarily built using wood, concrete and glass. This structure exemplifies the Romanesque architectural style. With its use of wood, concrete, glass and distinctive towers, the design stands out.",towers;stained glass,wood;concrete;glass,Romanesque
"This structure exemplifies the Neoclassical architectural style. It is primarily built using tile, glass and wood. The building showcases vaults, columns, buttresses and domes. With its use of tile, glass, wood and distinctive vaults, the design stands out.",vaults;columns;buttresses;domes,tile;glass;wood,Neoclassical
"With its use of mosaic, concrete and distinctive vaults, the design stands out. The building showcases vaults, towers and balconies. It is primarily built using mosaic and concrete.",vaults;towers;balconies,mosaic;concrete,Renaissance
"With its use of concrete, stone and distinctive stained glass, the design stands out. The building showcases stained glass and arches.",stained glass;arches,concrete;stone,Islamic
"With its use of glass, mosaic and distinctive vaults, the design stands out. It is primarily built using glass and mosaic.",vaults;arches;balconies;minarets,glass;mosaic,Gothic
"With its use of plaster, brick, wood and distinctive minarets, the design stands out. It is primarily built using plaster, brick and wood. The building showcases minarets, roofs, buttresses and arches.",minarets;roofs;buttresses;arches,plaster;brick;wood,Renaissance
"The building showcases roofs, columns and domes. This structure exemplifies the Byzantine architectural style.",roofs;columns;domes,concrete;stone,Byzantine
"With its use of concrete, glass and distinctive columns, the design stands out. This structure exemplifies the Renaissance architectural style. The building showcases columns, minarets and domes. It is primarily built using concrete and glass.",columns;minarets;domes,concrete;glass,Renaissance
"It is primarily built using plaster and mosaic. The building showcases columns, balconies, buttresses and vaults. With its use of plaster, mosaic and distinctive columns, the design stands out. This structure exemplifies the Neoclassical architectural style.",columns;balconies;buttresses;vaults,plaster;mosaic,Neoclassical
"With its use of glass, wood, marble and distinctive towers, the design stands out. The building showcases towers, vaults, roofs and minarets. It is primarily built using glass, wood and marble.",towers;vaults;roofs;minarets,glass;wood;marble,Gothic
"It is primarily built using brick, stone and concrete. With its use of brick, stone, concrete and distinctive vaults, the design stands out.",vaults;minarets,brick;stone;concrete,Baroque
"This structure exemplifies the Gothic architectural style. With its use of wood, marble and distinctive columns, the design stands out. It is primarily built using wood and marble.",columns;arches,wood;marble,Gothic
"This structure exemplifies the Modernist architectural style. With its use of wood, stone and distinctive stained glass, the design stands out. The building showcases stained glass, balconies and roofs.",stained glass;balconies;roofs,wood;stone,Modernist
"This structure exemplifies the Medieval architectural style. The building showcases vaults, stained glass and arches. With its use of stone, marble, wood and distinctive vaults, the design stands out.",vaults;stained glass;arches,stone;marble;wood,Medieval
"This structure exemplifies the Renaissance architectural style. With its use of concrete, tile, glass and distinctive minarets, the design stands out.",minarets;balconies;vaults;domes,concrete;tile;glass,Renaissance
"With its use of glass, wood and distinctive minarets, the design stands out. This structure exemplifies the Romanesque architectural style. The building showcases minarets and columns.",minarets;columns,glass;wood,Romanesque
"This structure exemplifies the Neoclassical architectural style. With its use of marble, glass and distinctive towers, the design stands out. It is primarily built using marble and glass.",towers;balconies;roofs;domes,marble;glass,Neoclassical
"With its use of plaster, marble and distinctive roofs, the design stands out. It is primarily built using plaster and marble. The building showcases roofs, towers, vaults and columns.",roofs;towers;vaults;columns,plaster;marble,Modernist
"It is primarily built using brick and glass. With its use of brick, glass and distinctive towers, the design stands out. This structure exemplifies the Neoclassical architectural style. The building showcases towers, buttresses, domes and arches.",towers;buttresses;domes;arches,brick;glass,Neoclassical
"The building showcases balconies, arches, columns and domes. It is primarily built using glass, tile and concrete. With its use of glass, tile, concrete and distinctive balconies, the design stands out. This structure exemplifies the Renaissance architectural style.",balconies;arches;columns;domes,glass;tile;concrete,Renaissance
"The building showcases minarets, buttresses, roofs and balconies. This structure exemplifies the Byzantine architectural style. It is primarily built using wood, brick and mosaic. With its use of wood, brick, mosaic and distinctive minarets, the design stands out.",minarets;buttresses;roofs;balconies,wood;brick;mosaic,Byzantine
"It is primarily built using stone and plaster. The building showcases columns, towers and balconies. This structure exemplifies the Neoclassical architectural style.",columns;towers;balconies,stone;plaster,Neoclassical
"This structure exemplifies the Byzantine architectural style. With its use of plaster, tile and distinctive domes, the design stands out. It is primarily built using plaster and tile. The building showcases domes, minarets, towers and balconies.",domes;minarets;towers;balconies,plaster;tile,Byzantine
"With its use of tile, marble and distinctive minarets, the design stands out. This structure exemplifies the Modernist architectural style. It is primarily built using tile and marble.",minarets;buttresses,tile;marble,Modernist
"With its use of marble, concrete and distinctive balconies, the design stands out. The building showcases balconies, stained glass and roofs. It is primarily built using marble and concrete.",balconies;stained glass;roofs,marble;concrete,Medieval
"With its use of glass, brick, tile and distinctive towers, the design stands out. The building showcases towers, columns and domes.",towers;columns;domes,glass;brick;tile,Gothic
"With its use of plaster, stone and distinctive domes, the design stands out. It is primarily built using plaster and stone. This structure exemplifies the Baroque architectural style.",domes;arches;columns;roofs,plaster;stone,Baroque
"This structure exemplifies the Medieval architectural style. It is primarily built using wood and stone. With its use of wood, stone and distinctive arches, the design stands out. The building showcases arches and domes.",arches;domes,wood;stone,Medieval
"The building showcases minarets, vaults, domes and stained glass. It is primarily built using tile and glass.",minarets;vaults;domes;stained glass,tile;glass,Medieval
"This structure exemplifies the Neoclassical architectural style. It is primarily built using brick, wood and stone.",roofs;columns;arches,brick;wood;stone,Neoclassical
"With its use of mosaic, tile and distinctive balconies, the design stands out. It is primarily built using mosaic and tile. The building showcases balconies, buttresses and minarets.",balconies;buttresses;minarets,mosaic;tile,Medieval
"This structure exemplifies the Gothic architectural style. With its use of plaster, brick, tile and distinctive stained glass, the design stands out.",stained glass;buttresses;minarets;arches,plaster;brick;tile,Gothic
"The building showcases balconies, domes and towers. With its use of concrete, mosaic and distinctive balconies, the design stands out. This structure exemplifies the Romanesque architectural style.",balconies;domes;towers,concrete;mosaic,Romanesque
